...Comp Geom...
6 Num Comps
8 Total Num Meshes
13968 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
  128.437    105.598     23.320     19.352  main_wing      
  128.496    105.657     23.377     19.401  main_wing      
   80.326     67.704      5.486      4.667  horizontal_stabilizer
   42.551     38.770      3.438      3.162  vertical_stabilizer
   32.321     32.124      2.915      2.915  nacelle_1      
   32.321     32.127      2.915      2.915  nacelle_12     
  404.415    392.653    352.183    345.133  fuselage       
-------------------------------------------------
  848.866    774.634    413.635    397.546  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
       99.557         76.718    main_wing_S_Surf0
       99.654         76.815    main_wing_S_Surf1
       30.333         24.022    horizontal_stabilizer_S_Surf0
       30.333         24.022    horizontal_stabilizer_S_Surf1
       42.551         38.770    vertical_stabilizer_S_Surf0
       32.321         32.124    nacelle_1_S_Surf0
       32.321         32.127    nacelle_12_S_Surf0
      404.415        392.653    fuselage_S_Surf0
        6.790          6.790    main_wing_S_Surf0,SS_CONT_0
       16.864         16.864    main_wing_S_Surf0,SS_CONT_1
        2.976          2.976    main_wing_S_Surf0,SS_CONT_2
        6.750          6.750    main_wing_S_Surf1,SS_CONT_0
       16.864         16.864    main_wing_S_Surf1,SS_CONT_1
        2.978          2.978    main_wing_S_Surf1,SS_CONT_2
        9.830          9.830    horizontal_stabilizer_S_Surf0,SS_CONT_0
        9.830          9.830    horizontal_stabilizer_S_Surf1,SS_CONT_0
        2.250          2.250    main_wing_S_Surf0,SS_CONT_1,SS_CONT_3
        2.250          2.250    main_wing_S_Surf1,SS_CONT_1,SS_CONT_3
WARNING: 1 open meshes merged
     Merged: horizontal_stabilizer
