Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main_wing,307.912002,279.047592,43.636914,41.684535
Tail,108.292575,100.668141,9.574078,9.381226
Fuselage,290.575687,269.665726,293.243354,286.855991
l_inboard_boom,29.273233,24.850728,5.166812,4.623388
l_inboard_nacelle,9.657156,8.967966,2.032914,1.989908
l_inboard_prop,1.669726,1.669726,0.025675,0.025675
l_inboard_prop,1.669726,1.669726,0.025675,0.025675
l_inboard_prop,1.669726,1.669726,0.025675,0.025675
l_inboard_prop,1.669726,1.669726,0.025675,0.025675
l_inboard_prop,1.669726,1.669726,0.025675,0.025675
l_inner_rotor,2.786938,2.784608,0.076390,0.076390
l_inner_rotor,2.786938,2.786938,0.076390,0.076390
l_mid_boom,29.370214,26.025961,5.572437,5.204920
l_mid_nacelle,9.657156,8.955457,2.032914,1.987132
l_mid_prop,1.669726,1.669726,0.025675,0.025675
l_mid_prop,1.669726,1.669726,0.025675,0.025675
l_mid_prop,1.669726,1.669726,0.025675,0.025675
l_mid_prop,1.669726,1.669726,0.025675,0.025675
l_mid_prop,1.669726,1.669726,0.025675,0.025675
l_mid_rotor,2.786938,2.786938,0.076390,0.076390
l_mid_rotor,2.786938,2.786938,0.076390,0.076390
l_outer_boom,25.401722,22.273010,4.537923,4.194133
l_outer_nacelle,9.657156,8.727320,2.032914,1.936511
l_outer_prop,1.669726,1.669726,0.025675,0.025675
l_outer_prop,1.669726,1.669726,0.025675,0.025675
l_outer_prop,1.669726,1.669726,0.025675,0.025675
l_outer_prop,1.669726,1.669726,0.025675,0.025675
l_outer_prop,1.669726,1.669726,0.025675,0.025675
l_outer_rotor,2.786938,2.786938,0.076390,0.076390
l_outer_rotor,2.786938,2.786938,0.076390,0.076390
r_inboard_boom,29.273233,24.793239,5.166812,4.612692
r_inboard_nacelle,9.657156,8.967966,2.032914,1.989908
r_inboard_prop,1.669726,1.669726,0.025675,0.025675
r_inboard_prop,1.669726,1.669726,0.025675,0.025675
r_inboard_prop,1.669726,1.669726,0.025675,0.025675
r_inboard_prop,1.669726,1.669726,0.025675,0.025675
r_inboard_prop,1.669726,1.669726,0.025675,0.025675
r_inner_rotor,2.786938,2.712554,0.076390,0.076390
r_inner_rotor,2.786938,2.786938,0.076390,0.076390
r_mid_boom,29.370214,26.025961,5.572437,5.204920
r_mid_nacelle,9.657156,8.955457,2.032914,1.987132
r_mid_prop,1.669726,1.669726,0.025675,0.025675
r_mid_prop,1.669726,1.669726,0.025675,0.025675
r_mid_prop,1.669726,1.669726,0.025675,0.025675
r_mid_prop,1.669726,1.669726,0.025675,0.025675
r_mid_prop,1.669726,1.669726,0.025675,0.025675
r_mid_rotor,2.786938,2.786938,0.076390,0.076390
r_mid_rotor,2.786938,2.786938,0.076390,0.076390
r_outer_boom,25.401722,22.273010,4.537923,4.194133
r_outer_nacelle,9.657156,8.727320,2.032914,1.936511
r_outer_prop,1.669726,1.669726,0.025675,0.025675
r_outer_prop,1.669726,1.669726,0.025675,0.025675
r_outer_prop,1.669726,1.669726,0.025675,0.025675
r_outer_prop,1.669726,1.669726,0.025675,0.025675
r_outer_prop,1.669726,1.669726,0.025675,0.025675
r_outer_rotor,2.786938,2.786938,0.076390,0.076390
r_outer_rotor,2.786938,2.786938,0.076390,0.076390
main_gear,7.887637,7.444597,0.515183,0.512536
main_gear,7.887637,7.444597,0.515183,0.512536
nose_gear,4.637706,2.446749,0.275381,0.153140
Totals,1036.761539,949.719106,392.198838,380.648174

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main_wing_Surf0,153.956001,139.523796
Main_wing_Surf1,153.956001,139.523796
Tail_Surf0,54.146287,50.334071
Tail_Surf1,54.146287,50.334071
Fuselage_Surf0,290.575687,269.665726
l_inboard_boom_Surf0,29.273233,24.850728
l_inboard_nacelle_Surf0,9.657156,8.967966
l_inboard_prop_Surf0,1.669726,1.669726
l_inboard_prop_Surf1,1.669726,1.669726
l_inboard_prop_Surf2,1.669726,1.669726
l_inboard_prop_Surf3,1.669726,1.669726
l_inboard_prop_Surf4,1.669726,1.669726
l_inner_rotor_Surf0,2.786938,2.784608
l_inner_rotor_Surf1,2.786938,2.786938
l_mid_boom_Surf0,29.370214,26.025961
l_mid_nacelle_Surf0,9.657156,8.955457
l_mid_prop_Surf0,1.669726,1.669726
l_mid_prop_Surf1,1.669726,1.669726
l_mid_prop_Surf2,1.669726,1.669726
l_mid_prop_Surf3,1.669726,1.669726
l_mid_prop_Surf4,1.669726,1.669726
l_mid_rotor_Surf0,2.786938,2.786938
l_mid_rotor_Surf1,2.786938,2.786938
l_outer_boom_Surf0,25.401722,22.273010
l_outer_nacelle_Surf0,9.657156,8.727320
l_outer_prop_Surf0,1.669726,1.669726
l_outer_prop_Surf1,1.669726,1.669726
l_outer_prop_Surf2,1.669726,1.669726
l_outer_prop_Surf3,1.669726,1.669726
l_outer_prop_Surf4,1.669726,1.669726
l_outer_rotor_Surf0,2.786938,2.786938
l_outer_rotor_Surf1,2.786938,2.786938
r_inboard_boom_Surf0,29.273233,24.793239
r_inboard_nacelle_Surf0,9.657156,8.967966
r_inboard_prop_Surf0,1.669726,1.669726
r_inboard_prop_Surf1,1.669726,1.669726
r_inboard_prop_Surf2,1.669726,1.669726
r_inboard_prop_Surf3,1.669726,1.669726
r_inboard_prop_Surf4,1.669726,1.669726
r_inner_rotor_Surf0,2.786938,2.712554
r_inner_rotor_Surf1,2.786938,2.786938
r_mid_boom_Surf0,29.370214,26.025961
r_mid_nacelle_Surf0,9.657156,8.955457
r_mid_prop_Surf0,1.669726,1.669726
r_mid_prop_Surf1,1.669726,1.669726
r_mid_prop_Surf2,1.669726,1.669726
r_mid_prop_Surf3,1.669726,1.669726
r_mid_prop_Surf4,1.669726,1.669726
r_mid_rotor_Surf0,2.786938,2.786938
r_mid_rotor_Surf1,2.786938,2.786938
r_outer_boom_Surf0,25.401722,22.273010
r_outer_nacelle_Surf0,9.657156,8.727320
r_outer_prop_Surf0,1.669726,1.669726
r_outer_prop_Surf1,1.669726,1.669726
r_outer_prop_Surf2,1.669726,1.669726
r_outer_prop_Surf3,1.669726,1.669726
r_outer_prop_Surf4,1.669726,1.669726
r_outer_rotor_Surf0,2.786938,2.786938
r_outer_rotor_Surf1,2.786938,2.786938
main_gear_Surf0,7.887637,7.444597
main_gear_Surf1,7.887637,7.444597
nose_gear_Surf0,4.637706,2.446749
