Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
main_wing,36.564898,36.277605,2.353327,2.353327
horizontal_stabilizer,7.368945,6.826041,0.309386,0.295028
vertical_stabilizer,5.185674,4.605947,0.304695,0.278597
strut,1.005624,0.988454,0.015986,0.015986
strut,1.005624,0.988454,0.015986,0.015986
PropGeom,0.158792,0.158792,0.000747,0.000747
PropGeom,0.158792,0.158792,0.000747,0.000747
fuselage,20.396015,19.776388,4.599802,4.591333
Totals,71.844363,69.780473,7.600676,7.551755

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
main_wing_Surf0,18.282449,18.138803
main_wing_Surf1,18.282449,18.138803
horizontal_stabilizer_Surf0,3.684473,3.413021
horizontal_stabilizer_Surf1,3.684473,3.413021
vertical_stabilizer_Surf0,5.185674,4.605947
strut_Surf0,1.005624,0.988454
strut_Surf1,1.005624,0.988454
PropGeom_Surf0,0.158792,0.158792
PropGeom_Surf1,0.158792,0.158792
fuselage_Surf0,20.396015,19.776388
