...Comp Geom...
20 Num Comps
44 Total Num Meshes
26576 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
   15.774     14.913      0.749      0.729  main_wing      
   15.758     14.896      0.755      0.735  main_wing      
    2.377      1.927      0.074      0.062  horizontal_tail
    2.377      1.927      0.074      0.062  horizontal_tail
    0.330      0.329      0.002      0.002  PropGeom       
    0.330      0.329      0.002      0.002  PropGeom       
    0.330      0.329      0.002      0.002  PropGeom       
    1.086      1.047      0.083      0.082  propeller_nacelle
    0.330      0.329      0.002      0.002  PropGeom       
    0.330      0.329      0.002      0.002  PropGeom       
    0.330      0.329      0.002      0.002  PropGeom       
    1.086      1.047      0.083      0.082  propeller_nacelle_2
    0.567      0.327      0.005      0.003  PropGeom       
    0.567      0.525      0.005      0.005  PropGeom       
    0.567      0.525      0.005      0.005  PropGeom       
    0.567      0.326      0.005      0.003  PropGeom       
    0.567      0.523      0.005      0.005  PropGeom       
    0.567      0.526      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.548      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.533      0.005      0.005  PropGeom       
    0.567      0.491      0.005      0.005  PropGeom       
    0.567      0.518      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
    0.567      0.567      0.005      0.005  PropGeom       
   20.452     19.549      5.489      5.399  fuselage       
    1.945      1.945      0.071      0.071  boom_1r        
    1.945      1.945      0.071      0.071  boom_1l        
    1.927      1.927      0.070      0.070  boom_2r        
    1.927      1.927      0.070      0.070  boom_2l        
-------------------------------------------------
   83.951     79.510      7.743      7.579  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
       14.339         13.478    main_wing_S_Surf0
       14.339         13.477    main_wing_S_Surf1
        1.737          1.290    horizontal_tail_S_Surf0
        1.737          1.290    horizontal_tail_S_Surf1
        0.330          0.329    PropGeom_S_Surf0
        0.330          0.329    PropGeom_S_Surf1
        0.330          0.329    PropGeom_S_Surf2
        1.086          1.047    propeller_nacelle_S_Surf0
        0.330          0.329    PropGeom_S_Surf0
        0.330          0.329    PropGeom_S_Surf1
        0.330          0.329    PropGeom_S_Surf2
        1.086          1.047    propeller_nacelle_2_S_Surf0
        0.567          0.327    PropGeom_S_Surf0
        0.567          0.525    PropGeom_S_Surf1
        0.567          0.525    PropGeom_S_Surf2
        0.567          0.326    PropGeom_S_Surf0
        0.567          0.523    PropGeom_S_Surf1
        0.567          0.526    PropGeom_S_Surf2
        0.567          0.567    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
        0.567          0.567    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
        0.567          0.567    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
        0.567          0.548    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.533    PropGeom_S_Surf2
        0.567          0.491    PropGeom_S_Surf0
        0.567          0.518    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
        0.567          0.567    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
        0.567          0.567    PropGeom_S_Surf0
        0.567          0.567    PropGeom_S_Surf1
        0.567          0.567    PropGeom_S_Surf2
       20.452         19.549    fuselage_S_Surf0
        1.945          1.945    boom_1r_S_Surf0
        1.945          1.945    boom_1l_S_Surf0
        1.927          1.927    boom_2r_S_Surf0
        1.927          1.927    boom_2l_S_Surf0
        0.953          0.953    main_wing_S_Surf0,SS_CONT_0
        0.482          0.482    main_wing_S_Surf0,SS_CONT_1
        0.938          0.938    main_wing_S_Surf1,SS_CONT_0
        0.482          0.482    main_wing_S_Surf1,SS_CONT_1
        0.246          0.243    horizontal_tail_S_Surf0,SS_CONT_0
        0.394          0.394    horizontal_tail_S_Surf0,SS_CONT_1
        0.246          0.243    horizontal_tail_S_Surf1,SS_CONT_0
        0.394          0.394    horizontal_tail_S_Surf1,SS_CONT_1
